,failed,107,110,114,146,159,174,188,205,220,235,251,267,282,297,313,329,345,361,378,395,409,410,411,413,414,415,416,419,432,433,434,435,437,438,444,445,447,448,449,452,453,464,465,467,468,469,470,471,472,474,475,477,478,479,480,482,483,484,488,490,492,493,495,496,498,500,502,503,504,505,506,507,509,511,513,514,516,517,519,520,522,523,525,526,528,529,531,532,534,535,537,538,540,541,543,544,546,547,549,550,552,553,555,556,558,560,562,563,565,567,569,570,571,573,575,577,580,583,594,596,597,599,600,603,605,606,607,608,609,613,616,618,620,621,623,624,626,627,629,631,633,634,636,641,642,653,655,657,659,676,677,678,679,680,681,683,696,706,707,708,718,731,743,744,745,757,769,770,772,786,787,788,799,810,819,832,845,846,848,849,861,871,885,886,887,936,937,938,944,951,952,967,968,969,975,982,983,1000,1001,1002,1003,1009,1010,1011,1012,1013,1015,1016,1023,1024,1038,1039,1040,1046,1053,1054,1060,1061,1062,1063,1064,1066,1068,1075,1082,1083,1089,1096,1097,1103,1104,1106,1107,1109,1125,1126,1128,1130,1131,1132,1138,1145,1146,1152,1153,1154,1156,1157,1160,1161,1163,1164,1166,1167,1169,1171,1185,1186,1187,1193,1200,1201,1207,1208,1209,1211,1213,1220,1226,1227,1233,1240,1241,1247,1248,1249,1256,1262,1263,1269,1276,1277,1283,1284,1285,1300,1301,1302,1308,1315,1316,1317,1319,1320,1326,1327,1342,1343,1344,1350,1357,1358,1359,1361,1362,1368,1369,1387,1388,1390,1391,1392,1398,1405,1406,1408,1410,1418,1419,1428,1429,1430,1436,1443,1445,1446,1447,1449,1452,1453,1454,1456,1457,1460,1461,1462,1463,1484,1485,1486,1487,1489,1490,1491,1498,1506,1507,1509,1510,1511,1516
org.apache.commons.lang3.time.DateUtilsRoundingTest::testRoundYear,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,x,x,,,x,,x,x,x,x,,,x,x,,,x,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,x,x,,x,x,x,x,,,,,,,,,,,,,,,,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.time.DateUtilsRoundingTest::testRoundMonth,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,x,x,,,x,,x,x,x,x,,,x,x,,,x,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,x,x,x,x,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,,x,,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.time.DateUtilsRoundingTest::testRoundSemiMonth,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,x,x,,,x,,x,x,x,x,,,x,x,,,x,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,x,x,x,x,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,,x,,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.time.DateUtilsRoundingTest::testRoundDate,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,x,x,,,x,,x,x,x,x,,,x,x,,,x,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,x,x,x,x,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,,x,,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.time.DateUtilsRoundingTest::testRoundDayOfMonth,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,x,x,,,x,,x,x,x,x,,,x,x,,,x,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,x,x,x,x,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,,x,,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.time.DateUtilsRoundingTest::testRoundAmPm,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,x,x,,,x,,x,x,x,x,,,x,x,,,x,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,x,x,x,x,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,,x,,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.time.DateUtilsRoundingTest::testRoundHourOfDay,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,x,x,,,x,,x,x,x,x,,,x,x,,,x,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,x,x,x,x,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,,x,,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.time.DateUtilsRoundingTest::testRoundHour,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,x,x,,,x,,x,x,x,x,,,x,x,,,x,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,x,x,x,x,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,,x,,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.time.DateUtilsRoundingTest::testRoundMinute,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,x,x,,,x,,x,x,x,x,,,x,x,,,x,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,x,x,x,x,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,,x,,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.time.DateUtilsRoundingTest::testRoundSecond,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,x,x,,,x,,x,x,x,x,,,x,x,,,x,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,x,x,x,x,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,,x,,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
