,failed,31,38,40,41,42,44,45,46,47,52,54,56,61,62,64,66,67,68,69,71,72,73,74,75,76,80,82
org.apache.commons.lang3.StringEscapeUtilsTest::testConstructor,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeJava,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeJavaWithSlash,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeJava,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeEcmaScript,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeHtml,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeHtml4,,x,x,x,x,x,x,x,,,x,x,x,x,,x,x,x,x,,,,,,,,,x
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeHexCharsHtml,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,,,,,x,x,
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeUnknownEntity,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,x
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeHtmlVersions,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeXml,,x,x,x,x,x,x,x,,,x,x,x,x,,x,,,,x,x,,,,,x,x,x
org.apache.commons.lang3.StringEscapeUtilsTest::testStandaloneAmphersand,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,x
org.apache.commons.lang3.StringEscapeUtilsTest::testLang313,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,x
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeCsvString,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeCsvWriter,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeCsvString,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeCsvWriter,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeHtmlHighUnicode,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,x
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeHiragana,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,x
org.apache.commons.lang3.reflect.TypeUtilsTest::testIsAssignable,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testIsInstance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testGetTypeArguments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testTypesSatisfyVariables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testDetermineTypeVariableAssignments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testGetRawType,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testIsArrayTypeClasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testIsArrayGenericTypes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
