Line,ProbCoup
41,1\57
43,1\57
45,1\57
47,1\57
49,1\57
51,1\57
53,1\57
55,1\57
57,1\57
59,1\57
61,1\57
63,1\57
65,1\57
67,1\57
69,1\57
71,1\57
73,1\57
75,1\57
453,1\3
454,1\2
456,1\3
459,1\3
466,1\3
467,1\2
469,1\3
473,1\3
474,1\3
476,1\3
478,1\2
479,1\2
482,1\2
484,1\2
486,1\2
488,1\3
489,1\2
491,1\3
493,1\3
495,1\3
496,1\3
497,1\2
499,1\3
502,1\3
503,1\3
504,1\3
507,1\3
511,1\3
512,1\1
515,1\1
522,1\2
523,1\2
526,1\2
531,1\1
536,1\2
537,1\2
538,1\2
542,1\1
544,1\2
556,1\2
557,1\2
559,1\2
561,1\2
564,1\2
565,1\2
569,1\2
570,1\2
573,1\2
577,1\2
579,1\2
580,1\2
581,1\2
585,1\1
587,1\2
588,1\1
589,1\1
610,1\3
613,1\3
614,1\3
615,1\3
632,1\3
635,1\3
648,1\3
651,1\3
665,1\3
669,1\3
682,1\4
685,1\4
698,1\3
701,1\3
714,1\3
718,1\3
721,1\3
1292,1\4
1295,1\4
1296,1\4
1300,1\4
