,failed,29,37,38,39,41,42,43,44,47,48,49,54,55,57,59,60,61,63,64,66
org.apache.commons.lang3.StringEscapeUtilsTest::testConstructor,,x,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeJava,,x,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeJavaWithSlash,,x,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeJava,,x,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeEcmaScript,,x,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeHtml,,x,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeHtml4,,x,x,x,x,x,x,,,x,x,x,x,,x,x,x,,,,x
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeHexCharsHtml,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,x,x,
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeUnknownEntity,,x,x,,,,,,,,,,,,,,,,,,x
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeHtmlVersions,,x,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeXml,,x,x,x,x,x,x,,,x,x,x,x,,x,,,x,x,x,x
org.apache.commons.lang3.StringEscapeUtilsTest::testStandaloneAmphersand,,x,x,,,,,,,,,,,,,,,,,,x
org.apache.commons.lang3.StringEscapeUtilsTest::testLang313,,x,x,,,,,,,,,,,,,,,,,,x
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeCsvString,,x,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeCsvWriter,,x,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeCsvString,,x,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testUnescapeCsvWriter,,x,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeHtmlHighUnicode,,x,x,,,,,,,,,,,,,,,,,,x
org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeHiragana,,x,x,,,,,,,,,,,,,,,,,,x
org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testSupplementaryUnescaping,x,x,x,x,x,x,x,,,x,x,x,x,,x,,,x,x,x,
