Line,ProbCoup
170,0\1
171,0\1
194,2\93
212,0\1
232,0\20
233,0\6
235,0\18
236,0\18
237,0\14
240,0\7
260,0\1
289,0\2
315,0\1
316,0\1
341,0\1
369,0\1
396,0\1
397,0\1
399,0\1
400,0\1
426,0\1
456,0\5
457,0\4
459,0\5
460,0\5
489,0\6
490,0\1
492,0\6
493,0\6
494,0\6
495,0\6
497,0\3
498,0\2
500,0\3
501,0\3
504,0\6
533,0\6
534,0\5
537,0\6
538,0\6
539,0\6
541,0\3
542,0\2
544,0\3
545,0\3
548,0\6
573,0\1
603,0\1
604,0\1
606,0\1
607,0\1
608,0\1
610,0\1
630,0\1
631,0\1
633,0\1
640,0\1
643,0\1
646,0\1
649,0\1
652,0\1
655,0\1
656,0\1
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
673,0
700,0\1
725,0\1
750,0\1
751,0\1
753,0\1
782,0\1
783,0\1
785,0\1
812,0\1
813,0\1
815,0\1
851,0\2
852,0\1
854,0\2
891,0\1
909,0\2
910,0\2
912,0\2
913,0\2
915,0\2
916,0\2
918,0\2
919,0\1
921,0\1
923,0\2
924,0\1
926,0\2
927,0\2
928,0\2
956,0\1
991,0\2
992,0\1
994,0\2
995,0\1
997,0\2
998,0\2
999,0\1
1001,0\2
1002,0\2
1004,0\2
1005,0\2
1006,0\2
1009,0\1
1034,0\1
1035,0\1
1037,0\1
1068,0\1
1069,0\1
1071,0\1
1097,0\1
1098,0\1
1100,0\1
1137,0\1
1169,0\1
1170,0\1
1172,0\1
1198,0\1
1199,0\1
1201,0\1
1233,0\2
1234,0\1
1236,0\2
1237,0\2
1239,0\2
1240,0\2
1242,0\2
1243,0\2
1246,0\2
1247,0\2
1248,0\2
1251,0\1
1276,0\1
1277,0\1
1279,0\1
1304,0\3
1305,0\2
1307,0\2
1334,0\2
1335,0\1
1337,0\2
1338,0\2
1339,0\2
1340,0\2
1341,0\2
1344,0\2
1372,0\2
1373,0\1
1375,0\2
1376,0\2
1377,0\2
1378,0\2
1379,0\2
1383,0\2
1409,0\1
1410,0\1
1412,0\1
1441,2\6
1442,0\2
1444,2\6
1445,2\6
1446,2\6
1447,2\6
1448,2\6
1449,2\6
1452,2\6
1456,0\4
1487,1\2
1488,0\1
1490,1\2
1518,0\6
1519,0\1
1521,0\6
1522,0\6
1523,0\6
1524,0\6
1525,0\6
1528,0\3
1530,0\5
1556,0\1
1557,0\1
1559,0\1
1560,0\1
1561,0\1
1564,0
1592,0\5
1593,0\1
1595,0\5
1596,0\2
1598,0\5
1599,0\2
1601,0\5
1627,0\1
1628,0\1
1630,0\1
1658,0\4
1659,0\1
1661,0\4
1662,0\4
1663,0\4
1664,0\4
1665,0\4
1666,0\4
1667,0\4
1671,0\4
1697,0\1
1698,0\1
1700,0\1
1732,0\1
1733,0\1
1735,0\1
1738,0\1
1740,0\1
1741,0\1
1742,0\1
1743,0\1
1744,0\1
1746,0\1
1747,0\1
1748,0\1
1751,0\1
1752,0\1
1756,0\1
1785,0\1
1786,0\1
1788,0\1
1789,0\1
1790,0\1
1791,0\1
1792,0\1
1793,0\1
1794,0\1
1796,0\1
1797,0\1
1798,0\1
1801,0\1
1831,0\1
1832,0\1
1836,0\1
1837,0\1
1840,0\1
1841,0\1
1843,0\1
1844,0\1
1847,0\1
1886,0\1
1887,0\1
1891,0\1
1892,0\1
1894,0\1
1895,0\1
1899,0\1
1900,0\1
1904,0\1
1905,0\1
1908,0\1
1909,0\1
1911,0\1
1912,0\1
1915,0\1
1941,0\1
1942,0\1
1944,0\1
1945,0\1
1947,0\1
1948,0\1
1950,0\1
1974,0\1
1975,0\1
1977,0\1
1978,0\1
1980,0\1
1981,0\1
1983,0\1
2011,0\1
2012,0\1
2014,0\1
2015,0\1
2017,0\1
2018,0\1
2020,0\1
2021,0\1
2023,0\1
2056,0\1
2057,0\1
2059,0\1
2060,0\1
2062,0\1
2063,0\1
2064,0\1
2066,0\1
2098,0\1
2099,0\1
2101,0\1
2102,0\1
2104,0\1
2105,0\1
2106,0\1
2108,0\1
2139,0\1
2140,0\1
2142,0\1
2143,0\1
2144,0\1
2146,0\1
2179,0\1
2180,0\1
2182,0\1
2183,0\1
2185,0\1
2186,0\1
2187,0\1
2189,0\1
2216,0\1
2247,0\2
2248,0\2
2250,0\2
2251,0\2
2252,0\2
2253,0\2
2254,0\2
2257,0\2
2283,0\1
2284,0\1
2286,0\1
2287,0\1
2288,0\1
2290,0\1
2291,0\1
2292,0\1
2293,0\1
2294,0\1
2295,0\1
2296,0\1
2297,0\1
2299,0\1
2300,0\1
2301,0\1
2302,0\1
2304,0\1
2305,0\1
2306,0\1
2307,0\1
2308,0\1
2310,0\1
2341,0\1
2369,0\2
2398,0\1
2432,0\2
2459,0\1
2490,0\1
2519,0
2552,0\1
2572,0\3
2573,0\3
2576,0\3
2578,0\3
2579,0\3
2582,0\3
2584,0\3
2587,0\3
2589,0\3
2590,0\3
2591,0\3
2592,0\3
2593,0\3
2594,0\3
2596,0\3
2597,0\3
2598,0\3
2600,0\3
2601,0\1
2602,0\1
2606,0\3
2611,0\3
2615,0\2
2616,0\1
2617,0\1
2618,0\1
2619,0\1
2621,0\1
2624,0\2
2628,0\2
2629,0\2
2633,0\3
2662,0\1
2698,0\1
2716,0\3
2717,0\2
2719,0\3
2720,0\3
2721,0\3
2723,0\3
2724,0\3
2725,0\3
2726,0\3
2727,0\3
2728,0\3
2729,0\3
2730,0\3
2731,0\3
2732,0\3
2734,0\3
2735,0\3
2737,0\3
2738,0\3
2739,0\3
2741,0\3
2742,0\3
2744,0\3
2781,0\1
2821,0\1
2843,0\7
2844,0\4
2846,0\7
2847,0\7
2848,0\4
2850,0\7
2851,0\7
2852,0\7
2853,0\7
2854,0\7
2855,0\7
2857,0\7
2858,0\7
2859,0\7
2860,0\7
2861,0\7
2862,0\3
2863,0\3
2865,0\7
2866,0\7
2868,0\7
2869,0\7
2871,0\7
2872,0\7
2873,0\7
2875,0\2
2877,0\2
2878,0\2
2879,0\2
2880,0\2
2881,0\2
2882,0\2
2883,0\2
2884,0\2
2886,0\2
2887,0\2
2889,0\2
2890,0\2
2892,0\2
2893,0\2
2894,0\2
2896,0\2
2898,0\2
2899,0\2
2900,0\2
2901,0\2
2902,0\2
2903,0\2
2904,0\2
2906,0\2
2907,0\2
2909,0\2
2910,0\2
2912,0\2
2913,0\2
2914,0\2
2917,0\7
2918,0\6
2920,0\7
2943,0\1
2971,0\1
2989,0\2
2990,0\2
2992,0\2
2993,0\2
2995,0\2
2996,0\2
2997,0\2
2998,0\2
2999,0\2
3000,0\2
3001,0\2
3002,0\2
3004,0\2
3005,0\1
3006,0\1
3007,0\1
3008,0\1
3010,0\1
3011,0\2
3012,0\2
3014,0\2
3016,0\2
3017,0\2
3043,0\2
3069,0\2
3070,0\1
3073,0\2
3103,0\2
3104,0
3106,0\2
3107,0\2
3108,0\2
3111,0\2
3112,0\2
3114,0\2
3115,0\2
3116,0\2
3118,0\2
3119,0\2
3122,0\2
3150,0\3
3151,0\2
3153,0\3
3184,0\3
3185,0
3187,0\3
3188,0\3
3193,0\3
3194,0\3
3195,0\3
3198,0\3
3201,0\3
3203,0\3
3204,0\3
3205,0\3
3207,0\3
3208,0\3
3211,0\3
3231,0\2
3232,0\1
3234,0\2
3235,0\2
