Line,ProbCoup
708,0\2
21,0\4
22,0\9
23,0\7
24,0\6
25,0\4
26,0\3
27,0\3
28,0\3
159,1\6
160,0\4
161,1\7
162,0\6
163,0\3
659,0\4
164,0\5
660,0\4
165,0\3
209,0\7
661,0\1
166,0\4
210,0\5
662,0\4
167,0\2
211,0\4
663,0\4
168,0\5
212,0\6
664,0\7
213,0\3
709,0\5
665,0\5
214,0\7
710,0\3
666,0\4
215,0\8
711,0\2
667,0\5
216,0\5
712,0\4
668,0\6
217,0\3
713,0\2
218,0\6
714,1\6
715,0\2
716,0\6
29,0\8
717,0\5
30,0\2
718,0\5
31,0\5
32,0\1
33,0\7
34,0\7
35,0\1
36,0\7
37,0\3
38,0\8
169,0\4
170,0\4
171,0\6
172,0\7
173,0\3
669,0\4
174,0\3
670,0\3
175,0\2
219,0\4
671,0\2
0,0\5
176,0\4
220,0\5
672,0\2
1,0\3
177,0\2
221,0\5
673,0\5
2,0\5
178,0\5
222,0\3
674,0\4
3,0\4
223,0\6
719,0\3
675,0\7
4,0\2
224,0\7
720,0\6
676,0\7
5,0\2
225,0\5
721,0\6
677,0\5
6,0\4
226,0\6
722,0\3
678,0\3
7,0\3
227,0\3
723,1\6
8,0\8
228,0\8
724,0\2
725,0\2
726,0\5
39,0\6
727,0\3
40,0\1
728,0\5
41,0\4
42,0\5
43,0\3
44,0\6
45,0\4
46,0\3
47,0\6
48,0\5
179,0\2
180,0\1
181,0\5
182,0\4
183,0\5
679,0\3
184,0\4
680,0\6
185,0\6
229,0\4
681,0\5
186,0\3
230,0\3
682,0\3
187,0\4
231,0\8
683,0\2
188,0\5
232,0\4
684,0\1
233,0\3
729,0\5
685,0\2
234,0\4
730,0\5
686,0\4
235,0\9
731,0\5
687,0\6
236,0\4
732,0\5
688,0\4
237,0\6
733,0\5
238,0\4
734,0\5
735,0\7
736,0\8
49,0\6
737,0\5
50,0\4
738,0\6
51,0\5
52,0\4
53,0\5
54,0\6
55,0\5
56,0\10
57,0\2
58,0\3
189,0\4
190,1\6
191,0\7
192,0\4
193,0\6
689,0\5
194,0\6
690,0\5
195,0\3
239,0\7
691,1\9
196,0\5
240,0\4
692,0\5
197,0\3
241,0\7
693,0\5
198,0\5
242,0\7
694,0\5
243,0\4
739,0\6
695,0\3
244,0\7
740,0\5
696,0\4
245,0\7
741,0\6
697,0\4
246,0\6
742,0\3
698,0\2
247,0\5
743,0\3
248,0\6
744,0\6
745,0\7
746,0\4
59,0\5
747,0\6
60,0\4
61,0\4
62,1\7
63,0\4
64,0\7
65,0\7
66,0\4
67,0\6
68,0\1
249,0\1
250,0\5
251,0\5
252,0\5
253,0\3
254,0\5
255,0\5
299,0\4
256,0\7
300,0\5
257,0\4
301,0\5
258,0\11
302,0\7
303,0\4
304,0\7
69,0\6
305,0\2
70,0\4
306,0\8
71,0\3
307,0\7
72,0\7
308,0\6
73,0\5
74,0\4
75,0\5
76,0\3
77,0\3
78,0\4
259,0\6
260,0\7
261,0\6
262,0\5
263,0\3
264,0\6
265,0\4
309,0\4
266,0\7
310,0\2
267,0\2
311,0\9
268,0\3
312,0\6
313,0\6
314,0\1
79,0\6
315,0\5
80,0\5
316,0\3
81,0\7
317,0\2
82,0\6
318,0\5
83,0\7
84,0\5
85,0\7
86,0\7
87,0\7
88,0\5
269,0\4
270,0\4
271,0\3
272,0\3
273,0\4
274,0\9
275,0\9
319,0\5
276,0\2
320,0\5
277,0\5
321,0\5
278,0\8
322,0\4
323,0\5
324,0\4
89,0\4
325,0\5
90,0\5
326,0\6
91,0\5
327,0\3
92,0\4
328,0\2
93,0\4
94,0\6
95,0\5
96,0\3
97,0\6
98,1\5
279,0\3
280,0\6
281,0\1
282,0\4
283,0\5
284,0\4
285,0\2
329,0\7
286,1\14
330,0\5
287,0\2
331,0\5
288,0\7
332,0\2
333,0\5
334,0\6
335,0\5
336,0\6
337,0\5
338,0\6
289,0\7
290,0\4
291,0\6
292,0\5
293,0\3
294,0\6
295,0\6
339,0\3
296,0\3
340,0\4
297,0\3
341,0\2
298,0\3
342,0\7
343,0\8
344,0\6
345,0\4
346,0\3
347,0\4
348,0\1
349,0\3
350,0\4
351,0\3
352,0\9
353,0\5
354,0\7
355,0\2
399,0\6
400,0\6
356,0\4
401,0\2
