Line,ProbCoup
21,1\2
24,1\1
28,1\2
162,1\2
163,1\3
659,1\1
164,1\3
662,1\2
212,1\1
665,1\1
214,1\5
666,1\2
217,1\2
33,1\2
38,1\2
171,1\1
175,1\1
0,1\1
176,1\2
177,1\5
178,1\2
3,1\1
4,1\2
224,1\2
41,1\1
179,1\2
180,1\3
181,1\1
182,1\1
183,1\1
184,1\1
186,1\2
187,1\1
234,1\3
235,1\3
237,1\3
51,1\3
54,1\1
55,1\1
192,1\3
194,1\2
195,1\3
196,1\3
240,1\3
198,1\1
242,1\2
243,1\1
245,1\2
247,1\2
248,1\2
59,1\2
61,1\1
62,1\2
63,1\3
64,1\1
65,1\1
66,1\2
250,1\2
251,1\3
255,1\2
300,1\1
257,1\1
258,1\2
306,1\2
307,1\3
75,1\4
76,1\1
77,1\1
262,1\1
264,1\3
266,1\3
310,1\1
311,1\1
268,1\2
313,1\3
81,1\2
318,1\2
83,1\2
85,1\1
86,1\2
88,1\2
272,1\1
275,1\1
319,1\2
276,1\3
320,1\2
323,1\5
89,1\2
327,1\1
96,1\2
281,1\5
285,1\2
330,1\1
288,1\3
289,1\3
292,1\2
294,1\2
295,1\1
339,1\1
340,1\4
297,1\2
348,1\3
354,1\2
399,1\2
358,1\2
403,1\1
406,1\1
407,1\1
408,1\2
359,1\1
360,1\1
362,1\2
363,1\2
364,1\1
409,1\2
365,1\1
410,1\1
367,1\1
368,1\2
413,1\1
371,1\4
372,1\1
373,1\3
419,1\2
375,1\5
376,1\2
377,1\2
424,1\6
426,1\1
428,1\3
379,1\1
382,1\3
429,1\1
430,1\1
387,1\1
432,1\2
388,1\1
434,1\2
437,1\2
391,1\2
392,1\1
397,1\1
398,1\1
447,1\4
448,1\2
450,1\2
500,1\1
501,1\1
457,1\3
503,1\4
505,1\2
507,1\1
461,1\3
463,1\2
464,1\2
465,1\1
512,1\1
513,1\2
514,1\5
515,1\1
469,1\2
470,1\2
471,1\2
472,1\1
520,1\1
476,1\2
522,1\1
523,1\1
526,1\2
528,1\3
480,1\3
483,1\2
484,1\1
485,1\1
530,1\1
487,1\3
534,1\4
493,1\2
494,1\2
495,1\1
544,1\1
548,1\2
554,1\3
103,1\1
104,1\1
601,1\3
557,1\4
106,1\1
107,1\3
108,1\3
605,1\3
606,1\1
608,1\4
561,1\2
562,1\4
563,1\1
112,1\2
610,1\1
611,1\2
568,1\3
613,1\2
615,1\2
616,1\2
570,1\1
571,1\1
572,1\1
123,1\5
619,1\1
575,1\1
620,1\4
576,1\2
622,1\1
578,1\2
127,1\1
625,1\2
626,1\3
627,1\1
628,1\1
579,1\3
130,1\1
131,1\4
584,1\1
133,1\1
585,1\1
586,1\1
135,1\1
631,1\3
587,1\1
633,1\2
636,1\3
638,1\2
590,1\1
140,1\1
593,1\2
142,1\1
594,1\2
143,1\2
639,1\3
595,1\2
146,1\1
642,1\2
598,1\2
147,1\2
648,1\3
11,1\2
16,1\1
17,1\1
18,1\1
151,1\2
152,1\1
154,1\4
650,1\3
155,1\1
652,1\2
157,1\1
203,1\1
205,1\1
657,1\2
206,1\2
658,1\2
208,1\1
19,1\3
