Line,ProbCoup
3,1\2
6,1\1
11,1\2
12,2\3
14,1\1
15,1\3
16,1\1
18,1\2
20,1\1
23,1\3
27,2\4
29,1\1
32,1\1
33,1\3
36,1\1
37,1\2
39,1\1
40,1\2
41,1\2
43,1\3
44,2\3
46,1\1
48,1\1
55,1\2
57,1\1
58,2\3
60,1\2
61,1\2
62,1\1
64,1\1
67,1\3
70,1\1
74,1\1
75,2\4
76,1\3
77,1\1
83,1\1
84,1\2
88,1\1
89,1\1
90,1\3
96,2\3
97,1\2
98,1\3
101,1\1
103,1\2
106,1\2
108,1\1
109,1\2
113,1\1
114,1\2
116,1\1
119,1\4
122,2\2
123,1\3
124,1\1
125,1\1
126,2\3
128,1\2
129,1\1
130,1\3
132,1\2
133,1\2
134,1\2
135,1\1
137,1\1
139,1\4
142,2\3
143,1\1
144,2\2
145,1\3
148,1\2
149,2\3
152,1\2
155,1\3
156,1\1
158,1\2
159,1\2
161,1\5
163,2\2
164,1\2
169,1\2
170,1\1
172,1\2
173,2\2
174,1\3
175,1\1
176,1\1
178,2\2
179,1\3
182,1\1
183,1\1
185,1\3
187,1\1
193,2\2
195,1\4
196,1\3
200,1\2
201,1\2
202,1\1
205,1\2
206,1\2
209,1\2
210,1\3
211,1\1
213,2\2
214,1\2
215,1\1
216,1\2
219,1\1
220,1\3
221,1\1
227,1\3
228,1\2
229,1\2
230,1\2
231,1\1
232,1\1
240,1\1
242,1\2
243,1\2
244,1\3
246,1\1
247,1\3
248,1\2
249,1\2
250,1\1
252,2\2
254,1\3
255,2\3
256,1\1
257,1\2
259,1\2
263,1\2
264,1\2
266,1\1
268,1\1
269,2\3
273,1\1
276,1\2
277,1\1
278,1\2
279,1\4
283,1\2
284,1\1
285,1\1
286,1\1
291,1\1
292,1\1
295,1\1
296,1\2
299,1\2
300,1\2
301,1\1
305,1\2
308,1\2
312,1\3
314,1\1
315,2\3
317,2\3
318,2\2
320,1\3
321,1\3
322,1\1
324,2\4
329,1\2
331,1\1
333,1\1
334,1\3
336,1\3
338,2\2
339,1\1
340,1\1
342,1\1
343,1\1
345,1\2
346,1\1
348,1\2
354,1\2
356,1\5
357,1\2
358,1\1
360,1\2
361,2\3
366,1\3
371,1\2
373,1\1
376,1\1
378,1\3
381,1\1
382,1\2
383,1\1
384,1\1
387,1\1
389,1\2
392,1\1
393,1\2
394,1\3
400,1\1
402,1\1
403,1\2
405,1\2
410,1\3
411,1\2
414,1\1
415,1\1
419,1\2
420,1\1
421,1\2
422,2\4
424,1\4
425,1\1
427,1\2
430,1\3
433,1\1
434,1\3
437,1\1
438,2\2
439,1\1
443,2\2
444,1\3
447,1\1
448,1\1
449,1\2
454,1\1
456,1\1
459,1\2
461,1\1
462,2\3
463,1\2
468,1\1
470,2\3
473,1\2
476,1\1
477,1\1
478,2\5
482,2\2
483,1\1
487,1\2
490,1\1
491,1\1
492,1\2
494,1\4
495,1\3
498,1\1
501,1\2
502,1\3
510,1\2
511,1\1
513,1\1
514,1\1
515,1\1
516,1\1
518,1\2
519,1\1
520,1\1
522,1\4
523,1\2
526,1\2
527,2\3
531,2\2
532,1\1
534,2\4
536,1\2
541,1\2
543,1\1
544,1\1
545,1\2
546,1\2
547,1\2
550,1\2
554,2\4
556,1\3
557,1\1
558,1\3
560,1\2
561,1\2
562,1\1
563,1\3
564,1\1
568,1\2
569,1\2
571,1\2
572,1\1
574,1\2
575,2\2
576,1\1
577,1\1
579,1\1
581,1\2
582,1\1
583,1\1
585,1\1
586,1\2
587,1\3
589,1\2
592,2\2
593,1\2
597,1\1
598,1\2
599,1\1
600,2\2
604,1\3
605,1\2
608,1\3
609,1\6
611,1\2
612,1\1
613,2\2
616,1\2
618,1\1
620,1\3
623,1\1
625,2\2
629,1\2
630,1\2
632,1\2
633,1\1
635,1\1
636,1\1
637,1\2
