Line,ProbCoup
0,0\2
1,0\2
2,0\1
3,0\2
4,0\1
5,0\1
6,0
7,0\3
8,0
9,1\2
10,1\5
11,0\1
12,0\2
13,0\3
14,0\5
15,0\2
16,0\2
17,0
18,0\2
19,0\2
20,0\2
21,0\2
22,0\3
23,0\2
24,0
25,1\2
26,0\1
27,0\1
28,0\1
29,0\2
30,0\1
31,0\1
32,1\1
33,0\2
34,0\1
35,1\3
36,0\1
37,0\3
38,0
39,0\3
40,0\1
41,0\2
42,0\2
43,1\3
44,0
45,0\3
46,0\3
47,0\1
48,0\2
49,0\2
50,0\1
51,0\3
52,0\3
53,0\1
54,0\2
55,0\1
56,0\3
57,0\1
58,0\2
59,0\1
60,0
61,0\1
62,0\1
63,0\1
64,0\2
65,0
66,0\1
67,0\1
68,0\1
69,0\2
70,0\2
71,0\1
72,0\3
73,0\1
74,0
75,0\1
76,0\2
77,0\3
78,0\1
79,0\1
80,0
81,0
82,0
83,0\2
84,0\1
85,0\2
86,0
87,0\1
88,0\2
89,0\1
90,0\2
91,0\2
92,0\1
93,0\3
94,0\1
95,0\2
96,0\1
97,0\1
98,0\1
99,0\2
100,0\1
101,0\2
102,1\3
103,0\1
104,0\1
105,0\1
106,0\2
107,0
108,0\2
109,0\2
110,0\2
111,0\2
112,0
113,0\3
114,0\3
115,1\3
116,1\2
117,0\3
118,0\1
119,0\2
120,1\2
121,1\3
122,0\4
123,0\2
124,0\1
125,0\2
126,0\2
127,0\1
128,0\1
129,0\2
130,0\2
131,0\1
132,0\1
133,0\1
134,0\2
135,0\2
136,0\2
137,0\3
138,0\1
139,0\1
140,1\2
141,0\3
142,0\2
143,0\1
144,0\2
145,0\2
146,0\1
147,0\1
148,0\2
149,0\3
150,0\2
151,0\2
152,0\2
153,0\1
154,0\4
155,1\1
156,0\2
157,0\2
158,0\1
159,0
160,0
161,0\1
162,1\2
163,0\2
164,0
165,0
166,0\4
167,0\3
168,0\2
169,0\1
170,1\2
171,0\3
172,0\2
173,0\1
174,0
175,0\2
176,0\1
177,0\2
178,0\2
179,0\1
180,0\1
181,0\1
182,0\1
183,0\1
184,0\2
185,0\1
186,0\1
187,0\2
188,0\3
189,0\3
190,0\2
191,0\1
192,0\3
193,0\3
194,0\1
195,0\2
196,0\1
197,0\1
198,0\1
199,0\1
200,0
201,0\2
202,0\1
203,0\3
204,0\3
205,0\3
206,0\1
207,0\2
208,0\3
209,0\2
210,0\1
211,0\1
212,0\1
213,0\4
214,0\2
215,0\2
216,0\2
217,0\2
218,0\1
219,0\3
220,0\1
221,0
222,0\2
223,0\2
224,0
225,0
226,0\2
227,0\1
228,0
229,0\3
230,0\2
231,0\1
232,0\2
233,0\2
234,0\2
235,0
236,0\2
237,0\3
238,0\3
239,0\3
240,0\1
241,0\2
242,0\3
243,0\2
244,0\2
245,0\1
246,0\1
247,0\1
248,0\1
249,0\3
250,0\2
251,0
252,0\1
253,1\3
254,0\1
255,1\3
256,0\2
257,0\3
258,1\3
259,0\2
260,0\2
261,0\2
262,0\2
263,1\3
264,0\3
265,0\2
266,0\2
267,1\3
268,0\1
269,0\1
270,0\2
271,0\2
272,1\4
273,0
274,0\1
275,0\2
276,0\2
277,0\2
278,0\1
279,0\2
280,0\1
281,0\2
282,0\1
283,0\1
284,0\2
285,0\2
286,0\3
287,0\2
288,0
289,0\3
290,0\1
291,0\2
292,0
293,0\3
294,0\1
295,0\2
296,0\1
297,0\1
298,0\2
299,0\2
300,0\1
301,1\2
302,0\1
303,0\3
304,0\2
305,0
306,0\1
307,0\1
308,1\2
309,0\1
310,1\3
311,0\1
312,0\2
313,0
314,0\2
315,0
316,0\1
317,0\1
318,0\1
319,0\3
320,0
321,0\1
322,0\1
323,0\4
324,0\2
325,0\2
326,0\1
327,0\3
328,0\2
329,0
330,1\3
331,0\2
332,1\2
333,0
334,0\2
335,0\3
336,1\2
337,0\1
338,0
339,0
340,0\3
341,0\2
